{'loss': 7.7666, 'grad_norm': 3.9007511138916016, 'learning_rate': 1.8500000000000002e-05, 'num_tokens': 32426.0, 'mean_token_accuracy': 0.576280701160431, 'epoch': 0.63}                                                                    
{'loss': 7.1569, 'grad_norm': 2.505669355392456, 'learning_rate': 1.6833333333333334e-05, 'num_tokens': 63881.0, 'mean_token_accuracy': 0.5872404437798721, 'epoch': 1.25}                                                                    
{'loss': 6.4687, 'grad_norm': 2.7941548824310303, 'learning_rate': 1.5166666666666667e-05, 'num_tokens': 96349.0, 'mean_token_accuracy': 0.6052523210644722, 'epoch': 1.89}                                                                   
{'loss': 5.2724, 'grad_norm': 3.8983376026153564, 'learning_rate': 1.3500000000000001e-05, 'num_tokens': 128069.0, 'mean_token_accuracy': 0.6496569468424871, 'epoch': 2.51}                                                                  
{'loss': 4.3546, 'grad_norm': 6.479344844818115, 'learning_rate': 1.1833333333333334e-05, 'num_tokens': 159476.0, 'mean_token_accuracy': 0.6827426017859043, 'epoch': 3.13}                                                                   
{'loss': 3.4035, 'grad_norm': 3.4648098945617676, 'learning_rate': 1.0166666666666667e-05, 'num_tokens': 191944.0, 'mean_token_accuracy': 0.7599786683917046, 'epoch': 3.76}                                                                  
{'loss': 2.6631, 'grad_norm': 2.8745615482330322, 'learning_rate': 8.5e-06, 'num_tokens': 223389.0, 'mean_token_accuracy': 0.7947363135142204, 'epoch': 4.38}                                                                                 
{'loss': 2.2031, 'grad_norm': 1.294156551361084, 'learning_rate': 6.833333333333334e-06, 'num_tokens': 254960.0, 'mean_token_accuracy': 0.8288843784576807, 'epoch': 5.0}                                                                     
{'loss': 2.03, 'grad_norm': 1.2913875579833984, 'learning_rate': 5.1666666666666675e-06, 'num_tokens': 287317.0, 'mean_token_accuracy': 0.8431031033396721, 'epoch': 5.63}                                                                    
{'loss': 1.8857, 'grad_norm': 1.1896448135375977, 'learning_rate': 3.5e-06, 'num_tokens': 318906.0, 'mean_token_accuracy': 0.8497859453543638, 'epoch': 6.25}                                                                                 
{'loss': 1.8848, 'grad_norm': 1.0498534440994263, 'learning_rate': 1.8333333333333333e-06, 'num_tokens': 351209.0, 'mean_token_accuracy': 0.8507593095302581, 'epoch': 6.89}                                                                  
{'loss': 1.8435, 'grad_norm': 1.0550488233566284, 'learning_rate': 1.6666666666666668e-07, 'num_tokens': 382845.0, 'mean_token_accuracy': 0.8490749414150531, 'epoch': 7.51}                                                                  
{'train_runtime': 1095.8576, 'train_samples_per_second': 0.46, 'train_steps_per_second': 0.11, 'train_loss': 3.911084794998169, 'epoch': 7.51}
